Date,Open,High,Low,Close,Volume,Open_Interest,Year
1999-06-04,485.0,488.0,484.5,484.5,44.0,4239.0,1999
1999-06-07,492.5,494.5,490.25,491.0,111.0,4244.0,1999
1999-06-08,488.0,493.5,487.5,491.25,275.0,4212.0,1999
1999-06-09,489.75,496.5,486.5,492.25,286.0,4364.0,1999
1999-06-10,491.0,491.5,487.0,488.25,147.0,4409.0,1999
1999-06-11,488.25,490.5,485.0,489.75,104.0,4411.0,1999
1999-06-14,485.0,490.5,483.0,490.25,242.0,4399.0,1999
1999-06-15,489.25,489.25,481.0,481.5,275.0,4415.0,1999
1999-06-16,481.75,482.0,478.0,479.25,2920.0,5164.0,1999
1999-06-17,485.5,485.5,478.75,479.5,1146.0,5273.0,1999
1999-06-18,489.0,491.5,485.5,490.75,1058.0,5613.0,1999
1999-06-21,486.0,488.5,483.75,487.5,505.0,5697.0,1999
1999-06-22,488.5,488.5,483.0,483.5,288.0,5875.0,1999
1999-06-23,483.5,485.0,479.0,479.5,171.0,5895.0,1999
1999-06-24,472.5,473.0,466.0,472.25,650.0,6270.0,1999
1999-06-25,472.5,473.0,467.5,469.0,162.0,6317.0,1999
1999-06-28,467.25,470.5,464.0,465.5,459.0,6464.0,1999
1999-06-29,472.0,472.0,465.5,466.0,316.0,6453.0,1999
1999-06-30,468.0,471.5,465.5,470.75,462.0,6591.0,1999
1999-07-01,467.0,467.0,461.5,463.25,839.0,6704.0,1999
1999-07-02,462.0,462.0,450.5,450.75,839.0,6704.0,1999
1999-07-06,436.5,436.5,428.5,431.0,1179.0,7444.0,1999
1999-07-07,432.0,432.5,426.5,432.25,2339.0,8155.0,1999
1999-07-08,432.5,433.5,425.0,425.25,1508.0,8722.0,1999
1999-07-09,422.0,424.5,415.0,420.0,1869.0,9025.0,1999
1999-07-12,424.5,429.5,417.5,426.75,3013.0,10187.0,1999
1999-07-13,423.0,428.5,422.5,427.5,953.0,10250.0,1999
1999-07-14,430.75,433.0,427.25,429.5,1245.0,10117.0,1999
1999-07-15,439.0,439.0,433.5,437.0,1279.0,10428.0,1999
1999-07-16,432.5,434.0,426.25,427.25,1919.0,10443.0,1999
1999-07-19,434.5,436.25,432.0,434.75,1919.0,10443.0,1999
1999-07-20,435.5,446.5,435.5,444.5,2216.0,10120.0,1999
1999-07-21,452.0,473.0,451.0,468.0,2631.0,10350.0,1999
1999-07-22,473.5,477.5,462.5,466.5,1235.0,10238.0,1999
1999-07-23,484.0,493.0,480.5,490.5,2425.0,10464.0,1999
1999-07-26,468.0,475.5,466.0,472.5,2170.0,10209.0,1999
1999-07-27,459.0,461.0,444.0,445.5,3092.0,10243.0,1999
1999-07-28,449.0,452.0,438.0,438.25,2365.0,10515.0,1999
1999-07-29,435.5,449.0,435.5,444.0,2548.0,10666.0,1999
1999-07-30,443.5,447.75,442.5,443.25,1370.0,10843.0,1999
1999-08-02,468.0,473.25,466.0,473.25,2409.0,10876.0,1999
1999-08-03,487.0,498.5,483.0,488.75,4108.0,11192.0,1999
1999-08-04,485.5,507.0,485.5,503.75,3644.0,11928.0,1999
1999-08-05,498.0,500.0,487.0,490.25,4093.0,12446.0,1999
1999-08-06,484.5,497.5,480.0,493.0,2384.0,12538.0,1999
1999-08-09,488.0,498.5,484.0,497.75,846.0,12651.0,1999
1999-08-10,503.0,511.5,501.5,503.25,2616.0,13602.0,1999
1999-08-11,498.0,500.0,493.5,495.75,2249.0,14241.0,1999
1999-08-12,468.0,472.5,465.75,465.75,1251.0,14400.0,1999
1999-08-13,457.5,464.5,455.0,463.75,2814.0,15034.0,1999
1999-08-16,468.0,473.75,467.0,473.25,1425.0,14821.0,1999
1999-08-17,487.0,497.0,482.0,482.75,2270.0,14451.0,1999
1999-08-18,478.0,485.5,477.0,479.25,1302.0,14059.0,1999
1999-08-19,486.0,491.5,483.0,487.5,1973.0,13485.0,1999
1999-08-20,489.0,490.5,482.5,483.0,1585.0,13754.0,1999
1999-08-23,470.0,481.0,469.5,480.5,2411.0,14767.0,1999
1999-08-24,482.0,483.0,474.5,477.5,2053.0,14835.0,1999
1999-08-25,479.0,485.5,475.0,485.25,2412.0,14560.0,1999
1999-08-26,483.0,483.0,476.0,477.0,1706.0,14019.0,1999
1999-08-27,478.0,483.0,477.0,480.75,1992.0,13954.0,1999
1999-08-30,484.0,484.0,476.25,480.25,1164.0,14057.0,1999
1999-08-31,486.5,496.0,485.0,492.5,2685.0,14781.0,1999
1999-09-01,494.0,500.0,491.5,498.0,2539.0,14881.0,1999
1999-09-02,497.0,505.5,495.5,503.75,3199.0,15598.0,1999
1999-09-03,507.0,509.0,504.5,507.25,2764.0,16456.0,1999
1999-09-07,521.5,530.0,519.5,529.25,7477.0,17474.0,1999
1999-09-08,519.5,523.0,517.0,517.25,4870.0,17917.0,1999
1999-09-09,518.5,523.5,515.25,516.75,3601.0,18434.0,1999
1999-09-10,515.0,526.0,513.0,524.75,3569.0,18857.0,1999
1999-09-13,525.5,526.0,518.5,519.5,2568.0,19349.0,1999
1999-09-14,517.5,517.5,510.5,511.5,2558.0,19547.0,1999
1999-09-15,507.0,508.0,497.75,499.25,3108.0,20080.0,1999
1999-09-16,500.5,503.25,496.0,502.75,3911.0,20238.0,1999
1999-09-17,504.5,504.5,496.75,497.25,2691.0,20473.0,1999
1999-09-20,494.0,500.25,492.0,497.25,2841.0,19493.0,1999
1999-09-21,499.0,500.75,493.25,495.0,2426.0,19704.0,1999
1999-09-22,497.5,499.0,492.5,495.25,3364.0,19789.0,1999
1999-09-23,496.5,496.5,488.0,488.25,7046.0,20109.0,1999
1999-09-24,488.5,495.5,486.5,489.25,8413.0,21277.0,1999
1999-09-27,491.5,495.5,489.5,494.0,3473.0,22070.0,1999
1999-09-28,497.0,505.0,495.75,499.75,8584.0,24128.0,1999
1999-09-29,500.0,504.0,499.0,501.75,4516.0,25171.0,1999
1999-09-30,501.0,506.5,499.5,500.75,4958.0,26124.0,1999
1999-10-01,499.5,500.75,491.0,491.5,4988.0,27204.0,1999
1999-10-04,488.0,494.75,487.5,493.25,5938.0,28601.0,1999
1999-10-05,491.0,494.5,490.0,493.75,5381.0,28128.0,1999
1999-10-06,493.5,500.0,493.0,499.25,4952.0,29357.0,1999
1999-10-07,498.5,501.5,497.5,499.75,6856.0,32397.0,1999
1999-10-08,516.0,517.5,501.5,502.0,14663.0,36536.0,1999
1999-10-11,500.0,505.25,499.5,503.75,5253.0,37193.0,1999
1999-10-12,504.5,513.0,504.0,510.25,8264.0,39953.0,1999
1999-10-13,511.0,517.0,508.5,510.25,8469.0,41950.0,1999
1999-10-14,509.0,510.0,506.0,506.75,6414.0,43826.0,1999
1999-10-15,505.5,507.5,501.5,501.75,8508.0,46675.0,1999
1999-10-18,499.0,508.5,497.25,505.0,13573.0,51658.0,1999
1999-10-19,503.5,508.0,503.5,505.25,8528.0,54392.0,1999
1999-10-20,507.0,509.0,498.5,499.25,14027.0,57987.0,1999
1999-10-21,495.0,495.25,488.0,491.0,16824.0,61009.0,1999
1999-10-22,489.0,490.0,484.0,484.5,16195.0,63009.0,1999
1999-10-25,484.0,491.0,483.5,490.75,14300.0,67592.0,1999
1999-10-26,489.0,493.5,478.0,479.0,25466.0,72418.0,1999
1999-10-27,478.0,485.0,476.0,482.0,36371.0,78523.0,1999
1999-10-28,483.5,486.5,477.0,478.0,38576.0,88723.0,1999
